,,,,,,,,,latlong,Career Impact,Poverty Impact
39.841122,-88.9760531,Innovation Center,Innovation Center,The Hub,http://www.millikin.edu/academics/tabor/entrepreneurship/entrepreneurshipacademics/Pages/BusinessIncubator.aspx,1184 W Main St, Macon County," Illinois""",39.841122-88.9760531,0.11029711,0.026862027
41.7248532,-87.9733229,Innovation Center,Innovation Center,Argonne National Laboratory,http://www.anl.gov,9700 S. Cass Avenue, DuPage County," Illinois""",41.7248532-87.9733229,0.125147381,0.084217618
41.7248532,-87.9733229,Innovation Center,Innovation Center,Advanced Photon Source,http://www.aps.anl.gov/,Building 401, DuPage County," Illinois""",41.7248532-87.9733229,0.125147381,0.084217618
41.7248532,-87.9733229,Innovation Center,Innovation Center,Center for Nanoscale Materials,http://nano.anl.gov/,Building 440, DuPage County," Illinois""",41.7248532-87.9733229,0.125147381,0.084217618
41.7248532,-87.9733229,Innovation Center,Innovation Center,Electron Microscopy Center,http://www.msd.anl.gov/groups/emc/,Building 212, DuPage County," Illinois""",41.7248532-87.9733229,0.125147381,0.084217618
41.7248532,-87.9733229,Innovation Center,Innovation Center,Argonne Tandem Linac Accelerator System,http://www.phy.anl.gov/atlas/,Building 203, DuPage County," Illinois""",41.7248532-87.9733229,0.125147381,0.084217618
41.7248532,-87.9733229,Innovation Center,Innovation Center,Argonne Leadership Computing Facility,http://www.alcf.anl.gov/,Building 240, DuPage County," Illinois""",41.7248532-87.9733229,0.125147381,0.084217618
41.7248532,-87.9733229,Innovation Center,Innovation Center,Transportation Research and Analysis Computing Center,http://web.anl.gov/TRACC/,Building 222, DuPage County," Illinois""",41.7248532-87.9733229,0.125147381,0.084217618
41.7248532,-87.9733229,Innovation Center,Innovation Center,DuPont-Northwestern-Dow Collaborative Access Team,http://www.dnd.aps.anl.gov/,APS/ANL Building 432A, DuPage County," Illinois""",41.7248532-87.9733229,0.125147381,0.084217618
41.7248532,-87.9733229,Innovation Center,Innovation Center,Life Sciences Collaborative Access Team,http://ls-cat.org/index.html,Bldg 436A, DuPage County," Illinois""",41.7248532-87.9733229,0.125147381,0.084217618
41.7248532,-87.9733229,Innovation Center,Innovation Center,Office of Technology Transfer,http://web.anl.gov/techtransfer/index.html,Bldg. 201, DuPage County," Illinois""",41.7248532-87.9733229,0.125147381,0.084217618
