lat,long,Category,Source,name,website,address,latlong,Youth Count,Youth Impact,Career Impact,Poverty Impact
41.879211,-87.637199,Innovation Center,Innovation Center,ITA CityLIGHTS Awards,http://www.illinoistech.org/page.aspx/clgala,200 South Wacker,41.879211-87.637199,379,0.07,0.15,0.29
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Fall Challenge,http://www.illinoistech.org/page.aspx/Fall_Challenge,200 South Wacker,41.879211-87.637199,379,0.07,0.15,0.29
41.8956362,-87.6355388,Innovation Center,Innovation Center,The Coop,http://coworkchicago.com/,230 W Superior St,41.8956362-87.6355388,489,0.12,0.06,0.06
40.0911149,-88.2401544,Innovation Center,Innovation Center,EnterpriseWorks Incubator,http://www.researchpark.illinois.edu/enterpriseworks,60 Hazelwood Drive,40.0911149-88.2401544,113,0.04,0.01,0.04
40.0911149,-88.2401544,Innovation Center,Innovation Center,Women in CU Tech Industry Lunch Forum,http://www.researchpark.illinois.edu/events/cu-women-in-tech,60 Hazelwood Drive,40.0911149-88.2401544,113,0.04,0.01,0.04
41.8723993,-87.6816138,Innovation Center,Innovation Center,EnterpriseWorks Chicago,http://www.enterpriseworkschicago.com/,2201 West Campbell Park Drive,41.8723993-87.6816138,379,0.07,0.15,0.29
40.9803273,-90.4072559,Innovation Center,Innovation Center,Galesburg Business And Technology Center,http://www.sandburg.edu/content/galesburg-business-and-technology-center,2051 Tom L. Wilson Boulevard,40.9803273-90.4072559,113,0.04,0.01,0.04
42.0469149,-87.6829905,Innovation Center,Innovation Center,Technology Innovation Center,http://www.theincubator.com/home,820 Davis Street,42.0469149-87.6829905,329,0.19,0.03,0.15
41.8838906,-87.6275643,Innovation Center,Innovation Center,Chicago Fashion Incubator,http://www.chicagofashionincubator.org/,111 North State Street,41.8838906-87.6275643,97,0.02,0.06,0.17
40.1035102,-88.2300656,Innovation Center,Innovation Center,Illinois Launch,http://business.illinois.edu/ael/illaunch/index.html,270 Wohlers Hall MC-706,40.1035102-88.2300656,113,0.04,0.01,0.04
40.5100462,-88.9870335,Innovation Center,Innovation Center,Center for Emerging Entrepreneurs,,100 S Fell Ave,40.5100462-88.9870335,113,0.04,0.01,0.04
37.702532,-89.216838,Innovation Center,Innovation Center,Small Business Incubator Program,http://www.growsi.com/sbip/index.htm,150 E. Pleasant Hill Road,37.702532-89.216838,#N/A,#N/A,#N/A,#N/A
39.841122,-88.9760531,Innovation Center,Innovation Center,The Hub,http://www.millikin.edu/academics/tabor/entrepreneurship/entrepreneurshipacademics/Pages/BusinessIncubator.aspx,1184 W Main St,39.841122-88.9760531,150,0.06,0.11,0.03
41.7248532,-87.9733229,Innovation Center,Innovation Center,Argonne National Laboratory,http://www.anl.gov,9700 S. Cass Avenue,41.7248532-87.9733229,113,0.04,0.01,0.04
41.7248532,-87.9733229,Innovation Center,Innovation Center,Advanced Photon Source,http://www.aps.anl.gov/,Building 401,41.7248532-87.9733229,113,0.04,0.01,0.04
41.7248532,-87.9733229,Innovation Center,Innovation Center,Center for Nanoscale Materials,http://nano.anl.gov/,Building 440,41.7248532-87.9733229,113,0.04,0.01,0.04
41.7248532,-87.9733229,Innovation Center,Innovation Center,Electron Microscopy Center,http://www.msd.anl.gov/groups/emc/,Building 212,41.7248532-87.9733229,113,0.04,0.01,0.04
41.7248532,-87.9733229,Innovation Center,Innovation Center,Argonne Tandem Linac Accelerator System,http://www.phy.anl.gov/atlas/,Building 203,41.7248532-87.9733229,113,0.04,0.01,0.04
41.7248532,-87.9733229,Innovation Center,Innovation Center,Argonne Leadership Computing Facility,http://www.alcf.anl.gov/,Building 240,41.7248532-87.9733229,113,0.04,0.01,0.04
41.7248532,-87.9733229,Innovation Center,Innovation Center,Transportation Research and Analysis Computing Center,http://web.anl.gov/TRACC/,Building 222,41.7248532-87.9733229,113,0.04,0.01,0.04
41.7248532,-87.9733229,Innovation Center,Innovation Center,DuPont-Northwestern-Dow Collaborative Access Team,http://www.dnd.aps.anl.gov/,APS/ANL Building 432A,41.7248532-87.9733229,113,0.04,0.01,0.04
41.7248532,-87.9733229,Innovation Center,Innovation Center,Life Sciences Collaborative Access Team,http://ls-cat.org/index.html,Bldg 436A,41.7248532-87.9733229,113,0.04,0.01,0.04
41.7248532,-87.9733229,Innovation Center,Innovation Center,Office of Technology Transfer,http://web.anl.gov/techtransfer/index.html,Bldg. 201,41.7248532-87.9733229,113,0.04,0.01,0.04
41.8312,-88.25223,Innovation Center,Innovation Center,Fermi National Accelerator Laboratory,http://www.fnal.gov/,Wilson and Kirk Roads,41.8312-88.25223,113,0.04,0.01,0.04
41.8310932,-87.6280182,Innovation Center,Innovation Center,Wanger Institute for Sustainable Energy Research (WISER),www.iit.edu/wiser,10 W. 35th Street,41.8310932-87.6280182,113,0.04,0.01,0.04
41.773019,-87.817757,Innovation Center,Innovation Center,Institute for Food Safety and Health,www.iit.edu/ifsh,6502 South Archer Road,41.773019-87.817757,113,0.04,0.01,0.04
42.0569182,-87.6767029,Innovation Center,Innovation Center,Farley Center for Entrepreneurship and Innovation,http://www.fcei.northwestern.edu/,Ford Motor Company Engineering Center ,42.0569182-87.6767029,329,0.19,0.03,0.15
42.057841,-87.676976,Innovation Center,Innovation Center,Nanoscale Science and Engineering Center,http://www.nu-nsec.org/,"2145 Sheridan Road, TECH K111",42.057841-87.676976,329,0.19,0.03,0.15
42.057841,-87.676976,Innovation Center,Innovation Center,Materials Research Science & Engineering Center,http://www.mrsec.northwestern.edu/,"2145 Sheridan Road, TECH K111",42.057841-87.676976,329,0.19,0.03,0.15
42.057841,-87.676976,Innovation Center,Innovation Center,International Institute for Nanotechnology ,http://www.iinano.org/,"2145 Sheridan Road, K111",42.057841-87.676976,329,0.19,0.03,0.15
42.057841,-87.676976,Innovation Center,Innovation Center,Nanotechnology Corporate Partners program,http://www.iinano.org/content/Industry/index.htm,"2145 Sheridan Road, K111",42.057841-87.676976,329,0.19,0.03,0.15
42.057841,-87.676976,Innovation Center,Innovation Center,IIN Small Business Entrepreneur's Evaluation,http://www.iinano.org/content/Industry/SBEE.htm,"2145 Sheridan Road, K111",42.057841-87.676976,329,0.19,0.03,0.15
42.0577785,-87.6733929,Innovation Center,Innovation Center,Northwestern University Atomic and Nanoscale Characterization Experimental Center,http://www.nuance.northwestern.edu/,2220 Campus Dr,42.0577785-87.6733929,329,0.19,0.03,0.15
42.0564526,-87.6738007,Innovation Center,Innovation Center,"Nanoscale Integrated Fabrication, Testing, and Instrumentation (NIFTI)",http://www.nuance.northwestern.edu/nifti/index.html,Silverman Hall East Tower,42.0564526-87.6738007,329,0.19,0.03,0.15
42.057841,-87.676976,Innovation Center,Innovation Center,Electron Probe Instrumentation Center (EPIC),http://www.nuance.northwestern.edu/epic/index.html,"2145 Sheridan Road, TECH K111",42.057841-87.676976,329,0.19,0.03,0.15
42.0577785,-87.6733929,Innovation Center,Innovation Center,Keck Interdiscplinary Surface Science Center,http://www.nuance.northwestern.edu/KeckII/index.html,2220 Campus Drive,42.0577785-87.6733929,329,0.19,0.03,0.15
42.057841,-87.676976,Innovation Center,Innovation Center,Micro/Nano Fabrication Facility (NUFAB),http://nufab.northwestern.edu/,EG20-NG32 Technological Institute ,42.057841-87.676976,329,0.19,0.03,0.15
41.8956469,-87.6201074,Innovation Center,Innovation Center,Institute for BioNanotechnology in Medicine,http://www.ibnam.northwestern.edu/,303 E. Superior,41.8956469-87.6201074,489,0.12,0.06,0.06
42.0562294,-87.6734659,Innovation Center,Innovation Center,Center for Molecular Innovation and Drug Discovery,http://www.cmidd.northwestern.edu/,2170 Campus Dr.,42.0562294-87.6734659,329,0.19,0.03,0.15
42.0562294,-87.6734659,Innovation Center,Innovation Center,Chemistry of Life Processes Institute,http://www.clp.northwestern.edu/,2170 Campus Dr.,42.0562294-87.6734659,329,0.19,0.03,0.15
41.7893998,-87.5963929,Innovation Center,Innovation Center,Polsky Center for Entrepreneurship and Innovation,www.chicagobooth.edu/entrepreneurship,Polsky Center for Entrepreneurship at The U of C Booth School of Business,41.7893998-87.5963929,113,0.04,0.01,0.04
41.7893998,-87.5963929,Innovation Center,Innovation Center,Exploring Entrepreneurship Conference Series,http://www.chicagobooth.edu/entrepreneurship/conferences/other.aspx,Polsky Center for Entrepreneurship at The U of C Booth School of Business,41.7893998-87.5963929,113,0.04,0.01,0.04
41.7893998,-87.5963929,Innovation Center,Innovation Center,New Venture Challenge,http://research.chicagobooth.edu/nvc/,Polsky Center for Entrepreneurship at The U of C Booth School of Business,41.7893998-87.5963929,113,0.04,0.01,0.04
40.1149215,-88.2248604,Innovation Center,Innovation Center,National Center for Supercomputing Applications,http://www.ncsa.illinois.edu/,1205 W. Clark St.,40.1149215-88.2248604,113,0.04,0.01,0.04
40.090471,-88.223691,Innovation Center,Innovation Center,Illinois Simulator Laboratory,http://www.isl.beckman.illinois.edu/,2100 South Goodwin Avenue,40.090471-88.223691,113,0.04,0.01,0.04
40.1156835,-88.2267598,Innovation Center,Innovation Center,Biomedical Imaging Center,http://bic.beckman.illinois.edu,405 N. Mathews Ave,40.1156835-88.2267598,113,0.04,0.01,0.04
40.1156835,-88.2267598,Innovation Center,Innovation Center,ITG Visualization Laboratory,https://itg.beckman.illinois.edu/visualization_laboratory/,405 N. Mathews Ave,40.1156835-88.2267598,113,0.04,0.01,0.04
